time,price
1628236246112,2768.01
1628236306486,2767.86
1628236366923,2769.58
1628236427251,2768.64
1628236487584,2767.94
1628236548010,2765.21
1628236608429,2767.34
1628236668836,2768.39
1628236729349,2770.18
1628236789754,2768.2
1628236850162,2766.58
1628236910576,2768.27
1628236970989,2765.1
1628237031410,2761.17
1628237091838,2756.66
1628237152325,2760.89
1628237212648,2764
1628237272980,2766.33
1628237333413,2769.73
1628237393847,2769.1
1628237454171,2771.78
1628237514492,2779.73
1628237574914,2776.8
1628237635310,2774.33
1628237695643,2773.1
1628237756079,2777.02
1628237816392,2776.07
1628237876801,2776.7
1628237937110,2775.33
1628237997419,2775.11
1628238057837,2773.23
1628238118260,2771.8
1628238178703,2772.44
1628238239134,2777.02
1628238299563,2775.28
1628238359999,2771.32
1628238420448,2769.99
1628238480796,2770.02
1628238541231,2769.71
1628238601654,2773.75
1628238662074,2771.29
1628238722491,2769.5
1628238782812,2769.98
1628238843234,2768.96
1628238903659,2767.62
1628238964089,2768.6
1628239024507,2769.78
1628239084931,2770.44
1628239145225,2770.7
1628239205723,2773.54
1628239266147,2775.73
1628239326567,2776.88
1628239387000,2778.2
1628239447423,2778.5
1628239507839,2779.21
1628239568174,2781.29
1628239628621,2777.61
1628239688978,2777.39
1628239749328,2775.01
1628239809656,2777.71
1628239869948,2777.53
1628239930335,2777.81
1628239990785,2777.95
1628240051076,2778.55
1628240111472,2778.66
1628240171803,2777.75
1628240232259,2775.54
1628240292673,2775.06
1628240353104,2778.6
1628240413523,2776.01
1628240473959,2771.38
1628240534962,2768.84
1628240595407,2769.99
1628240655843,2769.74
1628240716284,2770.06
1628240776709,2767.63
1628240837126,2770.99
1628240897428,2771.81
1628240957747,2773.51
1628241018093,2773.3
1628241078499,2772.01
1628241138920,2774.64
1628241199350,2775.01
1628241259764,2774.55
1628241320175,2773.28
1628241381219,2773.64
1628241441557,2770.39
1628241501979,2769.26
1628241562393,2768.79
1628241622726,2768.04
1628241683245,2770.84
1628241743664,2771.61
1628241804108,2771.2
1628241864501,2770
1628241924911,2772.18
1628241985200,2769.82
1628242045545,2771.08
1628242105980,2772.39
1628242166387,2772.67
1628242226807,2772.83
1628242287151,2769.7
1628242347553,2769.93
1628242407968,2771.41
1628242468386,2770.25
1628242528817,2769.79
1628242589235,2765.03
1628242649718,2766.97
1628242710117,2762.27
1628242770966,2763.43
1628242831292,2763.74
1628242891736,2759
1628242952061,2762.55
1628243012476,2762.51
1628243072932,2763.75
1628243133328,2760.39
1628243193750,2759.68
1628243254164,2763.76
1628243315201,2761.6
1628243375640,2762.65
1628243436064,2760.21
1628243496477,2761.78
1628243556904,2761.33
1628243617321,2763.99
1628243677734,2765.12
1628243738073,2766.81
1628243798389,2768.22
1628243858715,2765.42
1628243919745,2764.22
1628243980066,2759.62
1628244040393,2758.66
1628244100733,2758.65
1628244161064,2757.61
1628244221478,2761.53
1628244281892,2765.36
1628244342297,2762.33
1628244402720,2760.8
1628244463751,2754.57
1628244524785,2739.99
1628244585159,2740.62
1628244645538,2746.81
1628244705980,2742.64
1628244766328,2746.58
1628244826802,2747.99
1628244887229,2745.3
1628245500806,2743.82
1628245561226,2747.72
1628245621634,2748.67
1628245682050,2749.5
1628245742462,2749.16
1628245802775,2746.88
1628245863095,2745.43
1628245923504,2742.87
1628245983917,2742.27
1628246044332,2742.89
1628246105361,2746.91
1628246165673,2742.21
1628246225990,2743.1
1628246286401,2744.74
1628246346816,2751.52
1628246407231,2754.54
