time,price
1628324108383,2960.06
1628324168717,2965.15
1628324229141,2966.87
1628324290183,2961.82
1628324350597,2962.98
1628324410994,2965.46
1628324471411,2965
1628324531824,2969.99
1628324592229,2964.82
1628324652648,2967.57
1628324713076,2964.27
1628324773488,2962.77
1628324833926,2963.91
1628324894319,2962.95
1628324954710,2964.07
1628325015113,2962.33
1628325075509,2960.04
1628325135933,2962.05
1628325196352,2961.01
1628325256767,2960.92
1628325317176,2961.92
1628325377578,2960.89
1628325438003,2960.04
1628325498403,2960.19
1628325558736,2961.54
1628325619152,2963.89
1628325679540,2968.58
1628325739911,2972.63
1628325800371,2967.5
1628325860812,2966.06
1628325921263,2973.99
1628325981608,2972.47
1628326042027,2971.89
1628326102489,2972.15
1628326162897,2973.78
1628326223380,2973
1628326283777,2972.35
1628326344125,2976.92
1628326405042,2975.7
1628326465412,2975.71
1628326525828,2977.15
1628326586217,2975.32
1628326646615,2975.52
1628326706914,2976.87
1628326767320,2977.24
1628326827761,2977.42
1628326888221,2968.8
1628326948675,2973.04
1628327009152,2978.35
1628327069627,2992.92
1628327129989,2994.41
1628327190387,3003.03
1628327250856,3005.84
1628327311293,3005
1628327371631,2995.15
1628327432073,2997.03
1628327492464,2995.97
1628327553489,2993.6
1628327613954,2988.03
1628327674911,2991.87
1628327735233,3002.84
1628327795573,3000.3
1628327855989,3004.57
1628327916406,3007.87
1628327976840,3012.93
1628328037296,3011.17
1628328097713,3012
1628328158659,3011.77
1628328219064,3008.06
1628328279492,3008.05
1628328339914,3004.35
1628328400948,3010.75
1628328461386,3010.49
1628328521698,3009.1
1628328582148,3011.69
1628328642580,3018.49
1628328702989,3034.6
1628328763410,3032.84
1628328823754,3035
1628328884128,3035.13
1628328944595,3030.33
1628329005022,3033.46
1628329065430,3038.56
1628329125773,3039.99
1628329186178,3042.49
1628329246613,3041.52
1628329306948,3033.5
1628329367406,3039.76
1628329427833,3036.4
1628329488238,3040.6
1628329548660,3038.55
1628329609078,3033.01
1628329669492,3033.68
1628329729910,3039.19
1628329790328,3039.07
1628329851308,3034.19
1628329911701,3034.87
1628329972037,3035.33
1628330032542,3034.92
1628330092955,3038.01
1628330153396,3039.93
1628330213807,3041.32
1628330274217,3036.63
1628330334637,3039.01
1628330395052,3042.33
1628330455477,3038.56
1628330515884,3043.64
1628330576300,3053.83
1628330636754,3056.58
1628330697190,3053.63
1628330757597,3056
1628330818011,3059.44
1628330878466,3070.01
1628330938848,3076.58
1628330999185,3079.47
1628331059516,3085.87
1628331119940,3079.13
1628331180370,3078.08
1628331240798,3079.48
1628331301236,3071.78
1628331361679,3074.95
1628331422029,3076.76
1628331482471,3077.63
1628331542907,3074.64
1628331603942,3078.46
1628331664284,3066.93
1628331724701,3071.3
1628331785126,3068.88
1628331845548,3070.43
1628331905970,3064.09
1628331966318,3066.4
1628332026639,3057.48
1628332086975,3061.44
1628332147325,3061.7
1628332207689,3066.54
1628332268147,3062
1628332328460,3057.42
1628332388823,3056.48
1628332449248,3058.25
1628332509677,3059.01
1628332570090,3058.83
1628332630536,3061.84
1628332690939,3059.74
1628332751981,3059.4
1628332812396,3066.67
1628332872812,3068.71
1628332933138,3066
1628332993562,3065.29
1628333053977,3061.88
1628333114390,3060.91
1628333174830,3061.69
1628333235253,3062.86
1628333295677,3064.1
1628333356698,3065.71
1628333417108,3064.08
1628333477525,3063.76
1628333537953,3062.34
1628333598367,3060.59
1628333658780,3064.15
1628333719197,3066.56
1628333779618,3068.63
1628333840026,3065.01
1628333901062,3063.38
1628333962097,3065
1628334022512,3070.11
1628334082931,3063.79
1628334143347,3062.06
1628334203766,3060
1628334264174,3061.58
1628334324584,3062.75
1628334385004,3063.88
1628334446083,3063.01
1628334506457,3060.01
1628334566787,3059.4
1628334627203,3062.5
1628334687635,3063.25
1628334748044,3064.71
1628334808487,3062.07
1628334868894,3063.46
1628334929314,3060.24
1628334989722,3061.96
1628335050769,3061.51
1628335111169,3062.78
1628335171592,3064.42
1628335231997,3069.65
1628335292406,3074.51
1628335353450,3075.39
1628335413846,3087.21
1628335474270,3082.5
1628335534695,3079.99
1628335595104,3091.29
1628335655503,3085.52
1628335715939,3086.68
1628335776273,3086.23
1628335836687,3082.4
1628335897100,3083.38
1628335957518,3082.8
1628336017935,3080.29
1628336078351,3080.54
1628336138817,3076.35
1628336199214,3074.68
1628336259633,3071.37
1628336320048,3076.32
1628336380470,3076.35
1628336440879,3078.9
1628336501302,3084.45
1628336561723,3077.71
1628336622140,3080.27
1628336682554,3082.03
1628336742911,3080.41
1628336803333,3078.68
1628336863751,3073.98
1628336924166,3078.45
1628336984590,3081.89
